UID         PID   PPID  C STIME TTY          TIME CMD
root        129      2  0 Jan06 ?        00:00:02 [watchdog/24]
root        130      2  0 Jan06 ?        00:00:01 [migration/24]
root        131      2  0 Jan06 ?        00:00:00 [ksoftirqd/24]
root        133      2  0 Jan06 ?        00:00:00 [kworker/24:0H]
root        134      2  0 Jan06 ?        00:00:02 [watchdog/25]
root        135      2  0 Jan06 ?        00:00:01 [migration/25]
root        136      2  0 Jan06 ?        00:00:00 [ksoftirqd/25]
root        139      2  0 Jan06 ?        00:00:02 [watchdog/26]
root        140      2  0 Jan06 ?        00:00:04 [migration/26]
root        141      2  0 Jan06 ?        00:00:19 [ksoftirqd/26]
root        143      2  0 Jan06 ?        00:00:00 [kworker/26:0H]
root        144      2  0 Jan06 ?        00:00:02 [watchdog/27]
root        145      2  0 Jan06 ?        00:00:05 [migration/27]
root        146      2  0 Jan06 ?        00:00:07 [ksoftirqd/27]
root        148      2  0 Jan06 ?        00:00:00 [kworker/27:0H]
root        149      2  0 Jan06 ?        00:00:02 [watchdog/28]
root        150      2  0 Jan06 ?        00:00:01 [migration/28]
root        151      2  0 Jan06 ?        00:01:30 [ksoftirqd/28]
root        153      2  0 Jan06 ?        00:00:00 [kworker/28:0H]
root        154      2  0 Jan06 ?        00:00:02 [watchdog/29]
root        155      2  0 Jan06 ?        00:00:01 [migration/29]
root        156      2  0 Jan06 ?        00:00:01 [ksoftirqd/29]
root        158      2  0 Jan06 ?        00:00:00 [kworker/29:0H]
root        159      2  0 Jan06 ?        00:00:02 [watchdog/30]
root        160      2  0 Jan06 ?        00:00:04 [migration/30]
root        161      2  0 Jan06 ?        00:01:37 [ksoftirqd/30]
root        163      2  0 Jan06 ?        00:00:00 [kworker/30:0H]
root        164      2  0 Jan06 ?        00:00:02 [watchdog/31]
root        165      2  0 Jan06 ?        00:00:01 [migration/31]
root        166      2  0 Jan06 ?        00:00:00 [ksoftirqd/31]
root        169      2  0 Jan06 ?        00:00:02 [watchdog/32]
root        170      2  0 Jan06 ?        00:00:01 [migration/32]
root        171      2  0 Jan06 ?        00:02:48 [ksoftirqd/32]
root        173      2  0 Jan06 ?        00:00:00 [kworker/32:0H]
root        174      2  0 Jan06 ?        00:00:02 [watchdog/33]
root        175      2  0 Jan06 ?        00:00:01 [migration/33]
root        176      2  0 Jan06 ?        00:00:00 [ksoftirqd/33]
root        178      2  0 Jan06 ?        00:00:00 [kworker/33:0H]
root        179      2  0 Jan06 ?        00:00:02 [watchdog/34]
root        180      2  0 Jan06 ?        00:00:01 [migration/34]
root        181      2  0 Jan06 ?        00:00:00 [ksoftirqd/34]
root        183      2  0 Jan06 ?        00:00:00 [kworker/34:0H]
root        184      2  0 Jan06 ?        00:00:02 [watchdog/35]
root        185      2  0 Jan06 ?        00:00:01 [migration/35]
root        186      2  0 Jan06 ?        00:00:00 [ksoftirqd/35]
root        188      2  0 Jan06 ?        00:00:00 [kworker/35:0H]
root        189      2  0 Jan06 ?        00:00:02 [watchdog/36]
root        190      2  0 Jan06 ?        00:00:01 [migration/36]
root        191      2  0 Jan06 ?        00:00:00 [ksoftirqd/36]
root        193      2  0 Jan06 ?        00:00:00 [kworker/36:0H]
root        194      2  0 Jan06 ?        00:00:02 [watchdog/37]
root        195      2  0 Jan06 ?        00:00:01 [migration/37]
root        196      2  0 Jan06 ?        00:00:00 [ksoftirqd/37]
root        198      2  0 Jan06 ?        00:00:00 [kworker/37:0H]
root        199      2  0 Jan06 ?        00:00:02 [watchdog/38]
root        200      2  0 Jan06 ?        00:00:01 [migration/38]
root        201      2  0 Jan06 ?        00:00:00 [ksoftirqd/38]
root        203      2  0 Jan06 ?        00:00:00 [kworker/38:0H]
root        204      2  0 Jan06 ?        00:00:02 [watchdog/39]
root        205      2  0 Jan06 ?        00:00:01 [migration/39]
root        206      2  0 Jan06 ?        00:00:00 [ksoftirqd/39]
root        208      2  0 Jan06 ?        00:00:00 [kworker/39:0H]
root        209      2  0 Jan06 ?        00:00:02 [watchdog/40]
root        210      2  0 Jan06 ?        00:00:01 [migration/40]
root        211      2  0 Jan06 ?        00:00:00 [ksoftirqd/40]
root        213      2  0 Jan06 ?        00:00:00 [kworker/40:0H]
root        214      2  0 Jan06 ?        00:00:02 [watchdog/41]
root        215      2  0 Jan06 ?        00:00:01 [migration/41]
root        216      2  0 Jan06 ?        00:00:00 [ksoftirqd/41]
root        218      2  0 Jan06 ?        00:00:00 [kworker/41:0H]
root        219      2  0 Jan06 ?        00:00:02 [watchdog/42]
root        220      2  0 Jan06 ?        00:00:01 [migration/42]
root        221      2  0 Jan06 ?        00:00:00 [ksoftirqd/42]
root        223      2  0 Jan06 ?        00:00:00 [kworker/42:0H]
root        224      2  0 Jan06 ?        00:00:02 [watchdog/43]
root        225      2  0 Jan06 ?        00:00:01 [migration/43]
root        226      2  0 Jan06 ?        00:00:00 [ksoftirqd/43]
root        228      2  0 Jan06 ?        00:00:00 [kworker/43:0H]
root        229      2  0 Jan06 ?        00:00:02 [watchdog/44]
root        230      2  0 Jan06 ?        00:00:01 [migration/44]
root        231      2  0 Jan06 ?        00:00:00 [ksoftirqd/44]
root        233      2  0 Jan06 ?        00:00:00 [kworker/44:0H]
root        234      2  0 Jan06 ?        00:00:02 [watchdog/45]
root        235      2  0 Jan06 ?        00:00:01 [migration/45]
root        236      2  0 Jan06 ?        00:00:00 [ksoftirqd/45]
root        238      2  0 Jan06 ?        00:00:00 [kworker/45:0H]
root        239      2  0 Jan06 ?        00:00:02 [watchdog/46]
root        240      2  0 Jan06 ?        00:00:01 [migration/46]
root        241      2  0 Jan06 ?        00:00:00 [ksoftirqd/46]
root        243      2  0 Jan06 ?        00:00:00 [kworker/46:0H]
root        244      2  0 Jan06 ?        00:00:02 [watchdog/47]
root        245      2  0 Jan06 ?        00:00:01 [migration/47]
root        246      2  0 Jan06 ?        00:00:00 [ksoftirqd/47]
root        248      2  0 Jan06 ?        00:00:00 [kworker/47:0H]
root        251      2  0 Jan06 ?        00:00:00 [kdevtmpfs]
root        252      2  0 Jan06 ?        00:00:00 [netns]
root        253      2  0 Jan06 ?        00:00:01 [khungtaskd]
root        254      2  0 Jan06 ?        00:00:00 [writeback]
root        255      2  0 Jan06 ?        00:00:00 [kintegrityd]
root        256      2  0 Jan06 ?        00:00:00 [bioset]
root        257      2  0 Jan06 ?        00:00:00 [bioset]
root        258      2  0 Jan06 ?        00:00:00 [bioset]
root        259      2  0 Jan06 ?        00:00:00 [kblockd]
root        260      2  0 Jan06 ?        00:00:00 [md]
root        261      2  0 Jan06 ?        00:00:00 [edac-poller]
root        262      2  0 Jan06 ?        00:00:00 [watchdogd]
root        269      2  0 Jan06 ?        00:00:00 [kswapd0]
root        270      2  0 Jan06 ?        00:00:00 [kswapd1]
root        271      2  0 Jan06 ?        00:00:00 [ksmd]
root        272      2  0 Jan06 ?        00:00:17 [khugepaged]
root        273      2  0 Jan06 ?        00:00:00 [crypto]
root        281      2  0 Jan06 ?        00:00:00 [kthrotld]
root        283      2  0 Jan06 ?        00:00:00 [kmpath_rdacd]
root        284      2  0 Jan06 ?        00:00:00 [kaluad]
root        285      2  0 Jan06 ?        00:00:00 [kpsmoused]
root        289      2  0 Jan06 ?        00:00:00 [ipv6_addrconf]
root        301   2032  0 12:48 ?        00:00:00 sshd: andrew1@ [priv]
root        304      2  0 Jan06 ?        00:00:00 [deferwq]
andrew1     314    301  0 12:48 ?        00:00:00 sshd: andrew1@pts/211
andrew1     315    314  0 12:48 pts/211  00:00:00 -bash
root        343      2  0 Jan06 ?        00:00:11 [kauditd]
bruggles    344      1  0 Jan12 ?        00:00:00 /usr/bin/ssh-agent
root        533      2  0 Jan06 ?        00:00:00 [nfit]
root        574      2  0 Jan06 ?        00:00:00 [scsi_eh_0]
root        575      2  0 Jan06 ?        00:00:00 [scsi_tmf_0]
root        578      2  0 Jan06 ?        00:00:00 [ata_sff]
root        580      2  0 Jan06 ?        00:00:00 [scsi_eh_1]
root        581      2  0 Jan06 ?        00:00:00 [scsi_tmf_1]
root        582      2  0 Jan06 ?        00:00:00 [scsi_eh_2]
root        583      2  0 Jan06 ?        00:00:00 [scsi_tmf_2]
root        584      2  0 Jan06 ?        00:00:00 [scsi_eh_3]
root        585      2  0 Jan06 ?        00:00:00 [scsi_tmf_3]
root        586      2  0 Jan06 ?        00:00:00 [scsi_eh_4]
root        587      2  0 Jan06 ?        00:00:00 [scsi_tmf_4]
root        588      2  0 Jan06 ?        00:00:00 [scsi_eh_5]
root        589      2  0 Jan06 ?        00:00:00 [scsi_tmf_5]
root        590      2  0 Jan06 ?        00:00:00 [scsi_eh_6]
root        591      2  0 Jan06 ?        00:00:00 [scsi_tmf_6]
root        597      2  0 Jan06 ?        00:00:00 [bnxt_pf_wq]
root        605      2  0 Jan06 ?        00:00:00 [scsi_eh_7]
root        606      2  0 Jan06 ?        00:00:00 [scsi_tmf_7]
root        607      2  0 Jan06 ?        00:00:00 [scsi_eh_8]
root        608      2  0 Jan06 ?        00:00:00 [scsi_tmf_8]
root        609      2  0 Jan06 ?        00:00:00 [scsi_eh_9]
root        610      2  0 Jan06 ?        00:00:00 [scsi_tmf_9]
root        611      2  0 Jan06 ?        00:00:00 [scsi_eh_10]
root        612      2  0 Jan06 ?        00:00:00 [scsi_tmf_10]
root        613      2  0 Jan06 ?        00:00:00 [scsi_eh_11]
root        614      2  0 Jan06 ?        00:00:00 [scsi_tmf_11]
root        615      2  0 Jan06 ?        00:00:00 [scsi_eh_12]
root        616      2  0 Jan06 ?        00:00:00 [scsi_tmf_12]
root        617      2  0 Jan06 ?        00:00:00 [scsi_eh_13]
root        618      2  0 Jan06 ?        00:00:00 [scsi_tmf_13]
root        619      2  0 Jan06 ?        00:00:00 [scsi_eh_14]
root        620      2  0 Jan06 ?        00:00:00 [scsi_tmf_14]
root        629      2  0 Jan06 ?        00:00:00 [scsi_eh_15]
root        630      2  0 Jan06 ?        00:00:00 [scsi_tmf_15]
root        631      2  0 Jan06 ?        00:00:00 [scsi_eh_16]
root        632      2  0 Jan06 ?        00:00:00 [scsi_tmf_16]
root        633      2  0 Jan06 ?        00:00:00 [scsi_eh_17]
root        634      2  0 Jan06 ?        00:00:00 [scsi_tmf_17]
root        638      2  0 Jan06 ?        00:00:00 [ttm_swap]
root        649      2  0 Jan06 ?        00:00:00 [poll_megasas0_s]
kinjalg+    755      1  0 Jan12 ?        00:00:00 /usr/bin/ssh-agent
lucymar+    765      1  0 Jan12 ?        00:00:00 /usr/bin/ssh-agent
root        769      2  0 12:49 ?        00:00:00 [kworker/5:2]
root        800      2  0 Jan06 ?        00:00:00 [kdmflush]
root        801      2  0 Jan06 ?        00:00:00 [bioset]
root        815      2  0 Jan06 ?        00:00:00 [kdmflush]
root        816      2  0 Jan06 ?        00:00:00 [bioset]
root        830      2  0 Jan06 ?        00:00:00 [bioset]
root        831      2  0 Jan06 ?        00:00:00 [xfsalloc]
root        832      2  0 Jan06 ?        00:00:00 [xfs_mru_cache]
root        833      2  0 Jan06 ?        00:00:00 [xfs-buf/dm-0]
root        834      2  0 Jan06 ?        00:00:00 [xfs-data/dm-0]
root        835      2  0 Jan06 ?        00:00:00 [xfs-conv/dm-0]
root        836      2  0 Jan06 ?        00:00:00 [xfs-cil/dm-0]
root        837      2  0 Jan06 ?        00:00:00 [xfs-reclaim/dm-]
root        838      2  0 Jan06 ?        00:00:00 [xfs-log/dm-0]
root        839      2  0 Jan06 ?        00:00:00 [xfs-eofblocks/d]
root        840      2  0 Jan06 ?        00:00:21 [xfsaild/dm-0]
root        946      1  0 Jan06 ?        00:03:20 /usr/lib/systemd/systemd-journald
root        970      1  0 Jan06 ?        00:00:00 /usr/sbin/lvmetad -f
root        981      1  0 Jan06 ?        00:00:10 /usr/lib/systemd/systemd-udevd
root       1089      2  0 Jan06 ?        00:00:00 [irq/114-mei_me]
root       1144      2  0 Jan06 ?        00:00:00 [kvm-irqfd-clean]
root       1146      2  0 Jan06 ?        00:00:00 [ib-comp-wq]
root       1147      2  0 Jan06 ?        00:00:00 [kworker/u547:0]
root       1148      2  0 Jan06 ?        00:00:00 [kworker/u548:0]
root       1149      2  0 Jan06 ?        00:00:00 [kworker/u549:0]
root       1150      2  0 Jan06 ?        00:00:00 [ib-comp-unb-wq]
root       1151      2  0 Jan06 ?        00:00:00 [ib_mcast]
root       1152      2  0 Jan06 ?        00:00:00 [ib_nl_sa_wq]
root       1153      2  0 Jan06 ?        00:00:00 [bnxt_re]
root       1158      2  0 Jan06 ?        00:00:00 [xfs-buf/sdb1]
root       1159      2  0 Jan06 ?        00:00:00 [xfs-data/sdb1]
root       1160      2  0 Jan06 ?        00:00:00 [xfs-conv/sdb1]
root       1161      2  0 Jan06 ?        00:00:00 [xfs-cil/sdb1]
root       1162      2  0 Jan06 ?        00:00:00 [xfs-reclaim/sdb]
root       1163      2  0 Jan06 ?        00:00:00 [xfs-log/sdb1]
root       1164      2  0 Jan06 ?        00:00:00 [xfs-eofblocks/s]
root       1165      2  0 Jan06 ?        00:00:00 [xfsaild/sdb1]
root       1259      2  0 12:50 ?        00:00:00 [kworker/10:2]
root       1279      2  0 Jan06 ?        00:00:00 [kdmflush]
root       1280      2  0 Jan06 ?        00:00:00 [bioset]
root       1282      2  0 Jan06 ?        00:00:00 [kdmflush]
root       1283      2  0 Jan06 ?        00:00:00 [bioset]
root       1285      2  0 Jan06 ?        00:00:00 [kdmflush]
root       1286      2  0 Jan06 ?        00:00:00 [bioset]
root       1296      2  0 Jan06 ?        00:00:00 [xfs-buf/dm-2]
root       1298      2  0 Jan06 ?        00:00:00 [xfs-data/dm-2]
root       1299      2  0 Jan06 ?        00:00:00 [xfs-conv/dm-2]
root       1300      2  0 Jan06 ?        00:00:00 [xfs-cil/dm-2]
root       1301      2  0 Jan06 ?        00:00:00 [xfs-reclaim/dm-]
root       1303      2  0 Jan06 ?        00:00:00 [xfs-log/dm-2]
